Row,Player,Fixture,Scout,Error,Source File
2070,Robbie McCrorie,Dundee United - Kilmarnock 07.12.24 Rangers - Kilmarnock 04.12.24 Kilmarnock - Dundee 30.11.24,Stephen Henderson,Fixture not found: Dundee United - Kilmarnock 07.12.24 Rangers - Kilmarnock 04.12.24 Kilmarnock - Dundee 30.11.24 on 2024-12-07 (226 fixtures checked),FinalScoutReports.xlsx
2175,Robbe Decostere,Lierse Kempenzonen 0-1 Zulte-Waregem,Alistair Clarke,Player not found: Robbe Decostere,FinalScoutReports.xlsx
2212,Mark Tamas,Sabail 1-1 Neftci,Liam Burden,Empty fixture date,FinalScoutReports.xlsx
2246,Terence Kongolo,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
2268,Brandon Austin,K leagueXL v Tottenham 31.07.24 - Queens Park Rangers V Tottenham 20.07.24-Tottenham v Westham 18.07.23,Stephen Henderson,Fixture not found: K leagueXL v Tottenham 31.07.24 - Queens Park Rangers V Tottenham 20.07.24-Tottenham v Westham 18.07.23 on 2024-07-31 (19 fixtures checked),FinalScoutReports.xlsx
2286,Callum Wright,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
2385,Hidde Ter Avest,FC Utrecht 3-1 Sparta Rotterdam,Alistair Clarke,Fixture not found: FC Utrecht 3-1 Sparta Rotterdam on 2024-06-11 (8 fixtures checked),FinalScoutReports.xlsx
2438,Tim Krul,Stephen Henderson Goalkeeper Analysis,Stephen Henderson,Could not parse fixture: Stephen Henderson Goalkeeper Analysis,FinalScoutReports.xlsx
2498,Sam Sherring,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
2501,Tomas Vaclik,Stephen Henderson Goalkeeper Analysis,Stephen Henderson,Could not parse fixture: Stephen Henderson Goalkeeper Analysis,FinalScoutReports.xlsx
2527,Jonathan Afolabi,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
2558,Bradley Mayo,Stephen Henderson Goalkeeper Analysis,Stephen Henderson,Could not parse fixture: Stephen Henderson Goalkeeper Analysis,FinalScoutReports.xlsx
2577,Ilan Kebbal,nan,Reece Jackson,Empty fixture,FinalScoutReports.xlsx
2625,Ryan Lowe,Milton Keynes Dons 1-0 Walsall,Andy Scott,Player not found: Ryan Lowe,FinalScoutReports.xlsx
2723,Marcus McGuane,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
2748,Josef Bursik,Ross County - Hibernian 30.10.24 Hibernian - Hearts 27.10.24 Dundee United - Hibernian 19.10.24,Stephen Henderson,Empty fixture date,FinalScoutReports.xlsx
2802,Ben Hamer,Stephen Henderson Goalkeeper Analysis,Stephen Henderson,Could not parse fixture: Stephen Henderson Goalkeeper Analysis,FinalScoutReports.xlsx
2811,Karl Hein,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
2863,Jake Beesley,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
2886,Noah Ohio,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
2903,Andy Fisher,Stephen Henderson Goalkeeper Analysis,Stephen Henderson,Could not parse fixture: Stephen Henderson Goalkeeper Analysis,FinalScoutReports.xlsx
2928,Junior Olaitan,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
3029,Áron Csongvai,nan,Reece Jackson,Empty fixture,FinalScoutReports.xlsx
